co,no,no2,o3,so2,pm2_5,pm10,nh3
0.46763945614459124,0.17142725087816602,0.3498273375005464,0.0008238153241419077,0.36433806330890384,0.4131798964870041,0.5063558617017736,0.5862337157301185
0.3363715935640773,0.09498058790904049,0.3228570179656423,0.0001941850406905926,0.2937002962731951,0.30890856352020024,0.3714352267811387,0.37935057359517793
0.19598895029133165,0.02061379182843409,0.27490492634523755,0.004395643193814323,0.21183533447684394,0.1942669725292434,0.22360320787993745,0.2216605094302936
0.14311776023552322,0.0037437603993344423,0.2210079993006076,0.016558688015252353,0.16723842195540312,0.1482169602062677,0.16345545905294334,0.18724479875559014
0.11941659941528854,0.0007857274912183397,0.18804913231630016,0.031863999858774514,0.17472321846249808,0.13308813771399325,0.14230807627034042,0.1798561151079137
0.09753976024371627,9.24385283786282e-05,0.15509026533199283,0.054901406958885735,0.18953687821612353,0.12366580089862933,0.12808226015773186,0.16993972389655845
0.08660065790282209,0.0,0.13262228439043577,0.06879446396102175,0.18025884921253707,0.11615826492501946,0.11871485141925395,0.16255104024888198
0.08660065790282209,0.0,0.1281199457970888,0.06879446396102175,0.17838765008576332,0.11249928905909343,0.11470500149745433,0.16255104024888198
0.11030181872305678,0.0006470696986503974,0.15806268304410542,0.05048811057955408,0.21183533447684394,0.12480330634917627,0.13052810222621541,0.19716118996694537
0.16135005264041885,0.012201885745978924,0.2239804170127202,0.0176531855173266,0.27506627163573993,0.15553491193811975,0.16989451266180827,0.2858253937390628
0.19234303801443894,0.07122388611573303,0.21501945185120425,0.02003636556216569,0.32714798066427575,0.16840768195347605,0.18931150377691258,0.3449348629204744
0.19781190642977797,0.1084303937881309,0.18804913231630016,0.042279379313997216,0.3866365195696243,0.1708343602479762,0.19495191507770127,0.3989889169745285
0.19052008187599256,0.10325383619892772,0.18206058486689686,0.0669055731106678,0.4423826602214253,0.1718391567292927,0.19812984592858807,0.45323741007194246
0.1631730087788652,0.07848031059345535,0.17904445512960615,0.102264903701873,0.47957274286605345,0.15997118319525283,0.18230674519982695,0.4285436515652343
0.09389248245660753,0.03868552412645591,0.12659002491585436,0.1578194785248998,0.3866365195696243,0.10087777503933876,0.11269175734584538,0.2784367100913864
0.07566155556192794,0.02657607690885561,0.10862438256764435,0.18938337422987978,0.33455481054108843,0.0917208561624358,0.10002994908655286,0.24888197550068059
0.07566155556192794,0.021630615640599003,0.11461293001704768,0.2070542129327237,0.34196164041790117,0.10394903975581551,0.11114438787394762,0.26852031888003114
0.12123955555373489,0.025513033832501388,0.18206058486689686,0.18938337422987978,0.3717448931857166,0.138339621210685,0.15021130744401184,0.36457320629982504
0.19052008187599256,0.02602144573858384,0.298902828168029,0.13255777004960542,0.3791517230625293,0.17819022882817984,0.1983461448870254,0.47287575345129307
0.24886014034714005,0.00776483638380477,0.43672684355466185,0.05364803078715554,0.3568532668018089,0.20167971638197438,0.2266813084423147,0.5566789811394127
0.2926165497107167,0.012340543538546866,0.47265812825108183,0.012445495789715252,0.34944643692499616,0.23468633287201177,0.2641509433962264,0.6649815282908809
0.3072015643285036,0.010029580329081161,0.4247497486558552,0.014034282486274648,0.3457040386714487,0.2704229624433617,0.3055805131276829,0.7635621232743535
0.288970637433824,0.00180255130338325,0.361804432399353,0.033435133369816586,0.3159987525339155,0.28739075208068704,0.3235832418222355,0.7931168578650593
0.2780315350929298,0.00032353484932519876,0.31686847051623895,0.04732819037195262,0.2899578980196476,0.2982539291334105,0.3330837576120595,0.7439237798950028
0.28532335964671524,0.0005546311702717693,0.3108799230668357,0.042279379313997216,0.27506627163573993,0.31745881282347815,0.353033176932548,0.635426793700175
0.26344652047514294,0.0007395082270290257,0.2958866984307383,0.03850159761328932,0.22672696086075161,0.30890856352020024,0.33933978902532363,0.44837643398794474
0.20875100877067213,0.00018487705675725643,0.23897364164881757,0.04985259590093032,0.15421799469826916,0.2627827175005214,0.27947489268243986,0.2659926113163523
0.15587981871486375,0.00021789081689248057,0.16256502163745246,0.0706833548113757,0.10408545142678935,0.22964339204125359,0.23528335163555286,0.18471709119191135
0.13217865789462904,0.00025090457702770517,0.12361760720374175,0.08079863011280385,0.08732262591610793,0.21663791305666677,0.21613257462314064,0.14660703869336963
0.12306387720239731,0.0002839183371629294,0.10412204397429732,0.08457641181351175,0.07991579603929519,0.21328227197755328,0.20852883431499783,0.12327435349018083
0.12123955555373489,0.00031693209729815355,0.0951610788127814,0.08837184669973697,0.07991579603929519,0.21716874893358867,0.20942730691158362,0.11588566984250437
0.12670978947929,0.00034994585743337815,0.09664728766883769,0.09214962840044486,0.09480742242320289,0.23722676171156662,0.2270307144520981,0.12191328018666146
0.14858799416107835,0.00038295961756860237,0.12213139834768542,0.09089625222871467,0.13753313581786997,0.2775134130851044,0.26802768626667994,0.15769006416488432
0.19598895029133165,0.00041597337770382697,0.18804913231630016,0.0669055731106678,0.2044285046000312,0.3294215784783969,0.3267611726731224,0.23643787672564653
0.22333602338845904,0.02010537992235164,0.21501945185120425,0.056807950994757,0.26017464525183226,0.3526456480937305,0.354530631260191,0.30060276103441574
